2016-12-01	79176	2207	487	2716	6332	465	95	1768	2576	26611	2119	59	2179	6429	461	97	1290	2233	3186	821	67	681	3507	535	81	1037	24982	18080	2017-04-17 18:15:01
2016-12-02	70164	2501	210	2679	5748	173	24	1389	2065	24652	2272	72	2662	6324	557	63	1701	2344	2689	870	46	824	3498	615	15	793	24786	22781	2017-04-17 18:15:50
2016-12-03	54614	2189	150	1490	5086	156	110	785	1601	19522	1405	24	2359	5036	340	38	1256	1908	2427	617	55	790	2815	455	3	832	17805	21502	2017-04-17 18:16:37
2016-12-04	106780	3634	130	4990	10764	438	176	2402	3316	39924	3176	6	4064	10670	410	132	3896	3952	5176	1284	100	2282	7524	1346	18	2306	38622	48308	2017-04-17 18:17:32
2016-12-05	143228	4324	346	4718	11726	486	78	2466	3944	54766	5476	38	3878	13124	944	62	3428	5486	6878	1706	86	1544	7538	2398	80	3316	52906	59274	2017-04-17 18:18:22
2016-12-06	242788	8310	76	5144	16998	820	146	2496	5706	79574	7278	316	6566	19236	1344	66	4050	6812	7974	2962	122	2546	14982	1036	80	4454	71726	85484	2017-04-17 18:19:15
2016-12-07	96403	2716	174	2648	7888	276	47	1392	2360	33518	3296	25	1941	7705	475	104	1815	3607	4246	1026	90	895	4811	571	65	1632	27015	33212	2017-04-17 18:20:11
2016-12-08	82649	2477	185	2407	5412	407	38	1880	2036	29831	2553	55	2117	7114	638	101	1310	2962	2901	798	40	756	4251	733	66	1261	23293	32602	2017-04-17 18:20:59
2016-12-09	69250	1979	148	1546	5959	218	16	1331	1750	27991	1912	35	2192	6400	610	28	1822	2253	2861	796	30	652	3606	649	94	1076	21739	31453	2017-04-17 18:21:49
2016-12-10	55260	2216	149	1594	4351	181	62	1143	1870	22510	1869	40	1797	5606	573	81	1881	2536	2863	719	7	699	3635	331	66	1624	19482	27394	2017-04-17 18:22:36
